Fish Species,Temperature (°C),pH,Turbidity (NTU),Dissolved Oxygen (mg/L),Salinity (ppt),Ammonia (%),Nitrates (%)
Trout,13.4,6.51,3.16,7.56,1.39,1.22,41.99
Catfish,21.37,6.64,16.7,5.64,2.24,1.22,33.02
Trout,13.36,6.6,317.2891218092668,10.99,0.09,2.49,19.71
Trout,13.76,6.87,9.16,7.6,3.81,1.59,44.26
Catfish,26.72,6.87,7.21,4.92,3.09,2.5,48.43
,11.99,7.36,26.36,7.78,29.8,2.59,35.95
Trout,15.55,6.99,9.68,,1.17,0.01,39.44
Tilapia,23.37,6.69,32.4,4.62,3.01,0.83,25.98
Catfish,20.51,6.21,57.9,3.55,0.93,2.03,42.74
Salmon,13.85,7.14,3.78,,26.99,0.42,27.32
Salmon,13.26,6.54,8.68,8.94,14.29,1.5,15.09
Catfish,24.83,6.94,42.5,5.64,0.18,1.0,14.87
Tilapia,26.1,7.95,478.4658494229856,4.8,3.31,0.17,44.18
Bass,16.53,6.55,49.5,5.16,9.36,,12.14
Trout,12.37,6.94,2.27,11.6,1.22,2.41,40.57
Goldfish,23.54,7.33,10.73,6.63,1.16,0.8,39.55
Catfish,24.42,6.97,50.44,5.46,3.11,2.77,39.19
Clownfish,27.82,8.29,1.78,5.29,28.53,1.4,44.5
Catfish,27.2,7.38,54.76,6.15,0.94,2.3,41.63
Trout,13.28,6.99,8.26,9.5,3.41,0.02,44.74
Trout,10.23,6.82,4.09,8.86,,1.14,43.21
Clownfish,27.01,7.81,2.06,7.06,33.85,1.16,37.03
Clownfish,25.62,8.19,3.02,5.51,34.03,2.76,30.68
Bass,18.85,7.03,8.1,9.76,6.46,0.04,12.28
Clownfish,27.7,7.82,0.77,7.37,29.74,1.94,39.24
Eel,20.68,6.39,22.85,6.98,20.83,2.33,11.43
Salmon,12.58,6.84,,10.59,18.61,2.75,0.95
Trout,12.57,7.43,6.5,8.25,0.33,2.13,23.83
Tilapia,24.65,6.74,48.82,5.78,4.8,1.08,3.02
Tilapia,29.14,6.63,48.97,5.61,0.31,1.63,28.36
Trout,17.75,7.43,6.97,10.6,4.99,1.98,39.09
Catfish,21.82,7.11,97.5,6.79,3.03,2.41,5.66
Tilapia,28.64,6.83,24.67,5.42,1.48,2.27,49.02
Salmon,13.71,7.25,9.86,11.63,17.02,0.28,30.7
Tilapia,27.04,7.6,35.2,,1.33,1.69,48.72
Catfish,25.04,6.75,15.04,6.6,3.34,,5.11
Catfish,23.28,7.9,78.52,3.88,0.53,2.21,6.49
Tilapia,23.19,7.85,18.79,6.08,0.7,0.31,
Catfish,24.76,7.15,6.07,4.68,4.29,2.57,37.85
Eel,12.31,7.11,17.63,7.37,,,14.7
Tilapia,29.34,7.83,29.72,7.66,,1.91,32.89
Catfish,22.57,7.56,87.02,5.53,0.44,2.22,10.36
,20.81,7.86,70.17,5.39,1.25,0.4,34.43
Bass,23.43,6.75,48.28,6.43,2.92,,0.63
Bass,21.45,6.56,27.71,6.35,8.63,2.84,32.92
Tilapia,22.89,,44.91,6.4,2.32,,49.76
Tilapia,24.72,7.3,,,0.48,2.62,5.77
Bass,18.31,6.56,23.59,8.48,6.95,0.09,13.36
Clownfish,27.69,8.21,3.67,7.61,34.08,2.51,31.72
Tilapia,26.97,7.38,46.98,5.13,4.56,1.25,8.49
Trout,17.01,6.6,6.67,7.29,,2.18,13.45
Eel,6.8,7.64,23.81,4.14,12.03,2.95,22.7
Clownfish,26.54,7.98,2.89,5.41,29.76,0.28,17.57
Goldfish,19.92,,18.35,7.5,2.81,,36.56
Goldfish,11.05,8.36,15.55,7.59,35.08963362257193,1.04,44.76
Eel,17.81,7.37,13.11,7.61,26.46,2.26,5.63
Goldfish,17.96,7.55,10.44,5.15,0.2,1.83,0.48
Bass,23.89,6.54,38.75,6.97,1.95,1.97,11.24
Bass,24.3,6.89,34.78,5.26,7.15,3.0,39.65
Trout,12.42,6.84,8.95,9.16,1.27,,39.62
Goldfish,20.35,7.27,15.52,7.06,0.02,0.39,18.65
,21.36,7.36,13.91,5.73,2.13,0.21,14.75
Trout,16.4,7.38,7.97,,3.9,2.63,31.0
Eel,20.01,6.48,16.15,7.75,16.89,2.46,0.03
Trout,16.89,7.29,5.15,8.77,4.21,0.28,40.44
Salmon,11.3,7.44,0.2,1.0311047962235445,,,23.13
Catfish,27.51,,70.64,5.69,3.81,,9.86
Catfish,22.52,7.67,52.86,4.81,4.66,1.33,2.65
Clownfish,26.17,7.93,4.82,6.27,31.76,0.56,
Bass,,6.26,8.45,7.34,3.36,2.49,2.18
Salmon,10.98,6.8,7.53,8.51,11.29,2.61,3.86
,18.59,6.9,43.58,4.91,4.23,0.47,28.59
Bass,22.17,7.12,46.21,6.15,7.68,1.9,38.38
Tilapia,26.6,7.52,36.11,7.37,0.11,0.78,20.3
Trout,11.01,7.49,9.52,10.12,2.2,0.14,43.92
Trout,13.94,6.51,8.22,9.53,0.61,2.4,16.58
Salmon,8.48,7.34,2.58,7.21,22.77,1.55,8.47
Trout,,6.92,0.66,11.76,3.64,2.46,7.42
Tilapia,26.41,7.85,49.96,5.61,3.42,1.83,5.57
Catfish,23.73,7.94,,3.8,1.45,2.02,0.38
Tilapia,25.8,7.59,,7.64,3.14,1.49,16.66
Catfish,,7.81,54.31,5.58,1.67,0.14,13.85
Goldfish,19.61,8.12,11.13,5.46,3.66,1.12,46.77
Eel,7.56,6.51,22.77,6.85,16.12,2.63,40.83
Clownfish,24.55,8.15,2.08,7.32,31.31,1.68,2.87
Trout,13.14,7.46,4.75,10.05,0.69,2.7,0.15
Goldfish,,8.17,11.95,5.79,2.72,2.29,43.35
Tilapia,29.85,7.32,10.62,5.86,4.61,2.51,17.32
Goldfish,12.35,7.19,6.79,7.07,4.44,0.18,39.2
Tilapia,29.85,6.99,43.44,6.11,1.18,0.88,15.02
Salmon,8.19,6.66,8.3,11.52,32.73,1.54,2.57
Goldfish,11.34,7.81,19.98,6.65,2.98,0.24,12.17
,,7.07,13.06,7.48,4.35,2.45,40.22
Clownfish,24.06,8.39,2.8,7.07,32.89,1.81,25.65
Eel,,7.74,26.22,4.99,10.41,0.6,41.21
Catfish,26.24,7.09,47.43,3.79,1.44,0.35,15.26
Bass,23.86,7.28,46.49,4.52,6.74,0.06,0.65
Trout,10.02,6.89,3.75,10.82,2.07,2.21,39.05
Salmon,13.91,6.57,8.3,9.54,24.6,0.23,22.35
Eel,14.3,6.18,25.72,4.69,17.74,2.67,47.66
Trout,12.93,7.11,3.08,7.64,1.03,1.67,13.63
Bass,22.03,6.49,38.63,4.33,4.14,2.48,20.29
Goldfish,11.97,8.13,13.32,6.23,4.41,2.37,31.0
Catfish,21.55,6.22,52.83,4.34,2.18,0.83,40.92
Tilapia,28.12,6.63,13.04,4.11,2.66,0.23,7.39
Catfish,22.61,6.58,7.91,6.86,1.89,0.22,10.03
Bass,23.16,6.81,24.05,7.36,7.93,1.73,3.95
Clownfish,25.87,8.22,1.62,6.6,29.71,2.57,27.38
Salmon,12.6,7.47,6.99,11.67,26.1,1.28,4.85
Tilapia,23.73,6.83,,5.87,3.6,0.61,25.2
Bass,19.84,6.59,31.43,7.45,8.14,0.88,6.58
Catfish,22.59,6.34,35.03,5.78,1.51,1.78,8.56
Bass,23.22,7.15,12.81,6.05,3.34,2.09,45.91
Tilapia,26.99,6.99,21.03,4.84,4.53,2.1,0.14
,24.22,8.03,2.96,5.09,32.8,0.59,13.51
Eel,24.37,7.68,21.95,5.28,26.08,2.65,23.59
Eel,22.46,7.19,12.16,4.44,20.39,2.19,43.08
Salmon,11.37,7.29,4.34,7.37,,2.04,46.84
Salmon,13.52,6.95,5.55,9.42,22.68,,36.52
Tilapia,25.47,7.55,27.79,5.47,1.9,0.52,40.43
,26.13,6.74,45.67,5.86,1.41,2.87,48.23
Trout,11.5,6.99,2.77,11.71,2.92,0.32,22.45
Catfish,23.81,7.29,98.84,6.04,3.06,2.47,35.44
Goldfish,20.9,7.58,9.91,6.12,4.43,0.9,36.73
Catfish,20.8,3.653575436684691,34.95,6.31,2.21,1.18,32.24
Eel,11.61,6.1,17.21,7.28,29.36,,42.6
Eel,16.01,7.45,20.06,4.85,6.15,2.65,13.16
Goldfish,20.92,8.5,16.18,7.35,3.28,,18.55
Eel,14.9,6.94,10.26,5.26,,2.47,42.11
Clownfish,26.65,8.06,1.49,6.06,32.53,,21.28
Tilapia,25.77,6.82,18.36,5.7,0.17,1.74,23.8
Trout,16.08,6.91,5.91,7.97,1.37,2.81,13.89
Tilapia,26.8,7.24,43.73,4.01,4.57,0.7,37.48
Salmon,8.98,7.3,9.65,11.69,23.4,0.53,6.65
Tilapia,,7.61,20.37,5.81,3.81,2.63,11.37
Clownfish,26.27,8.26,4.77,7.78,33.26,1.56,11.49
Clownfish,24.32,8.35,4.43,,34.18,2.82,46.6
Trout,16.1,7.35,8.65,9.87,4.71,2.92,12.06
Trout,13.61,7.11,,10.73,0.24,2.42,17.49
Eel,11.52,7.74,26.19,4.61,29.42,2.78,25.66
,18.12,6.59,22.13,7.15,0.49,0.43,24.1
Trout,11.34,,2.17,9.67,1.04,2.02,
Goldfish,16.07,7.07,12.01,6.81,0.91,0.92,49.94
Trout,17.12,7.12,9.49,7.59,2.56,2.19,13.58
Eel,8.43,7.94,27.99,4.78,12.89,0.75,6.0
Trout,15.31,7.01,7.28,10.49,1.04,2.53,14.48
Eel,7.93,4.862438219663483,11.12,7.5,7.88,0.49,4.82
Eel,22.59,6.51,19.38,5.36,18.27,1.36,1.84
Bass,18.62,7.38,44.33,9.14,8.97,0.42,12.84
Trout,17.42,6.77,6.97,12.19950557001629,0.52,1.11,32.69
Tilapia,,6.99,31.67,7.52,3.97,1.92,44.83
Salmon,12.3,6.56,7.67,9.87,28.86,1.16,4.22
Eel,19.31,6.88,12.67,,18.93,2.94,18.88
Goldfish,18.01,7.25,11.87,7.82,4.61,1.78,
Catfish,23.32,7.99,34.72,3.81,1.34,2.39,17.2
Tilapia,25.91,7.0,29.73,4.88,0.77,1.22,49.27
Eel,10.3,7.93,13.13,4.22,13.75,1.02,14.65
Eel,10.72,6.65,17.06,6.25,15.58,2.16,5.17
Catfish,25.79,6.89,25.21,5.79,0.18,0.31,49.92
Eel,17.35,,21.16,4.73,7.0,0.56,23.06
Catfish,22.45,7.62,7.74,5.56,2.26,2.94,
Trout,17.79,7.47,5.83,9.13,2.07,0.24,7.75
Catfish,24.92,7.04,89.44,4.23,3.34,2.9,24.72
Salmon,9.71,7.48,7.0,9.81,16.85,0.28,21.07
Trout,16.68,7.1,7.61,11.65,1.25,2.98,25.39
Eel,22.67,6.3,13.33,6.16,27.59,2.96,
Catfish,24.31,7.09,48.89,4.03,3.95,2.4,37.59
,12.82,7.8,7.93,,1.52,1.0,3.91
Catfish,27.93,7.33,41.73,5.51,3.55,1.42,43.27
,11.84,7.6,19.95,6.59,4.28,2.49,5.0
Eel,,6.24,13.54,6.11,,0.99,44.94
Eel,13.22,7.13,15.76,6.81,6.05,2.65,11.23
Salmon,9.25,7.01,1.91,6.33,28.53,0.11,40.3
Salmon,10.31,7.17,1.36,,33.46,0.79,20.57
Goldfish,14.25,8.22,13.88,5.52,2.5,0.05,31.05
Eel,19.21,6.34,12.22,6.35,15.88,1.64,21.39
Trout,15.1,6.84,9.31,7.107771387514962,4.11,2.01,47.08
Eel,13.6,6.24,29.38,6.65,15.04,2.72,1.16
Tilapia,29.1,,45.44,7.98,2.12,2.22,14.1
Clownfish,26.05,7.89,4.81,7.02,29.23,1.03,40.35
Clownfish,,8.33,3.95,7.08,30.51,0.74,6.56
Catfish,25.4,7.77,60.48,6.22,4.47,2.3,5.88
Eel,9.04,6.23,12.49,4.18,11.48,,46.69
Trout,10.83,6.51,9.16,11.91,1.17,0.22,30.47
,24.75,7.88,0.75,5.58,31.75,0.78,29.09
Tilapia,27.63,6.76,17.06,6.42,,0.69,37.63
Tilapia,25.47,7.18,17.69,7.07,1.08,2.93,19.32
Tilapia,25.49,7.68,24.75,5.76,2.72,1.97,0.37
Goldfish,22.43,8.49,6.25,5.18,2.71,1.86,12.53
Tilapia,22.72,7.82,,5.01,4.91,1.63,33.18
Catfish,22.38,6.88,14.86,6.93,1.31,2.9,43.62
Tilapia,29.56,7.34,30.91,7.62,1.18,1.28,17.21
Catfish,23.14,6.42,48.8,5.14,1.82,0.6,20.93
Eel,18.25,6.95,14.81,5.88,21.39,1.65,37.25
Tilapia,23.08,7.9,11.93,4.33,4.53,0.59,34.06
,29.28,7.46,44.46,5.76,3.05,2.61,18.61
Trout,13.3,7.35,4.62,11.88,4.67,0.09,42.18
Catfish,26.35,7.43,76.7,5.21,1.64,1.34,19.71
Salmon,8.65,6.79,4.99,9.06,26.64,1.97,21.54
Salmon,14.14,7.559659581694437,7.12,8.99,32.54,0.26,25.77
,23.21,7.62,20.34,4.32,19.5,0.69,28.3
Goldfish,16.55,7.51,18.92,7.7,,2.27,39.25
Goldfish,17.03,8.45,11.22,7.56,,2.16,
Salmon,11.84,7.32,9.86,11.0,12.25,1.17,12.13
Tilapia,26.97,6.65,37.31,4.7,3.37,1.23,47.35
Catfish,21.06,7.39,26.44,4.99,3.75,1.4,23.41
Salmon,10.25,6.55,5.72,8.47,19.42,2.0,47.94
Catfish,25.47,7.53,54.92,4.32,3.69,0.79,49.36
Catfish,20.74,7.05,39.05,,3.19,0.91,6.27
Goldfish,22.49,8.23,8.62,7.46,0.48,2.1,15.5
,17.13,6.91,2.66,8.17,3.94,2.99,0.78
Eel,,7.02,12.79,3.84,14.22,2.62,27.87
,,6.58,3.91,8.45,17.59,0.19,16.58
Goldfish,,8.27,18.33,6.56,1.72,2.57,45.24
Clownfish,,7.92,4.92,7.63,30.34,1.02,1.88
Clownfish,24.99,8.08,0.2,7.91,33.0,1.24,6.69
Goldfish,12.74,7.11,17.79,7.6,4.54,1.88,19.31
Bass,21.94,6.87,26.49,8.47,5.93,2.55,3.1
Eel,17.11,6.7,19.8,6.28,7.91,1.91,37.53
Eel,14.4,6.65,18.45,3.59,17.04,0.78,6.98
Trout,13.78,7.45,0.26,9.19,3.31,2.96,24.9
,,6.34,6.51,7.85,0.17,0.39,25.97
Goldfish,19.52,,7.2,14.273171231113945,2.07,2.91,40.25
Eel,9.18,,11.28,6.8,7.9,2.26,31.2
Catfish,25.0,,23.3,5.74,1.05,0.46,4.77
Trout,10.72,6.89,4.97,9.26,4.9,1.98,27.13
,12.45,6.36,16.15,5.27,13.73,0.91,14.68
,13.25,,1.18,11.8,1.42,1.02,1.54
Goldfish,19.19,7.79,7.29,7.08,3.26,0.21,41.14
Bass,18.83,7.1,8.22,8.73,1.87,0.01,38.86
,13.44,7.44,1.41,11.48,10.34,2.18,7.97
,11.02,6.59,0.44,9.52,13.71,1.29,45.06
Trout,17.69,7.46,5.52,,2.49,1.22,45.53
Goldfish,19.2,8.43,16.48,6.17,2.67,0.79,27.48
Eel,12.77,7.02,14.2,4.71,14.28,2.75,27.62
Catfish,22.03,7.46,30.16,5.04,4.27,1.28,29.21
,25.62,6.73,22.24,6.59,4.2,2.05,36.85
Goldfish,,7.23,,6.83,4.77,1.27,18.01
Trout,10.45,6.63,9.02,8.65,2.95,0.38,8.64
Catfish,25.36,6.97,78.73,6.13,3.86,2.38,38.79
Catfish,22.35,2.4226439109879996,65.43,3.94,0.05,0.95,36.77
Tilapia,29.4,6.81,26.65,4.18,3.11,2.13,40.96
Bass,17.86,6.72,28.13,9.61,9.6,0.48,49.03
Tilapia,26.97,7.91,18.12,7.25,4.37,0.66,39.88
Goldfish,,7.56,465.9645562850455,6.01,2.17,2.45,20.36
Salmon,11.51,6.74,0.47,,10.47,0.18,16.06
Salmon,11.57,7.31,0.03,6.22,21.51,0.4,31.26
Catfish,20.51,,61.45,4.13,1.74,0.63,18.76
Salmon,9.29,6.56,,10.54,,1.25,49.35
Eel,13.74,6.97,13.57,4.97,12.37,,42.81
Eel,24.19,6.27,13.86,5.61,17.63,0.69,28.37
Clownfish,24.41,8.29,2.18,7.44,31.21,2.8,20.38
Eel,13.16,6.87,13.95,7.77,17.36,0.38,7.37
Bass,20.65,6.18,42.63,7.43,0.07,2.5,19.13
Tilapia,24.47,7.74,41.36,5.32,4.69,1.31,25.18
Trout,14.55,6.67,4.86,9.6,0.08,0.35,0.99
Eel,11.09,6.26,158.9355939060614,3.23,18.61,,7.52
Trout,10.81,7.24,0.29,8.93,3.46,1.24,33.25
,29.25,7.55,,7.22,,2.97,
Clownfish,25.11,8.31,3.31,7.2,29.61,1.49,24.0
Clownfish,25.72,8.07,3.65,,42.87829500148187,2.77,25.96
Salmon,8.18,7.1,7.57,9.58,28.3,2.98,31.31
Clownfish,24.7,8.38,4.31,7.81,32.84,0.73,43.67
Tilapia,26.76,7.81,38.22,6.12,3.96,1.44,3.76
Trout,16.72,6.73,2.25,11.75,0.53,,43.65
Trout,13.95,6.62,1.7,9.88,4.75,0.4,
Trout,17.46,7.01,7.33,11.56,0.03,0.16,31.81
Bass,,6.11,44.41,9.97,0.2,0.51,40.17
Trout,15.77,6.79,5.1,7.6,4.4,1.72,39.45
Trout,10.29,6.66,6.96,11.13,1.79,0.26,21.72
Salmon,10.06,6.95,,7.22,27.25,2.3,23.64
Catfish,23.78,7.66,34.39,5.04,3.48,0.36,46.37
Goldfish,15.83,7.47,12.47,5.55,1.04,1.6,36.65
Goldfish,21.13,7.82,12.79,5.58,4.58,2.09,47.88
Trout,14.63,7.13,4.27,11.85,4.08,0.48,40.77
Salmon,13.68,6.6,9.72,8.61,17.4,2.14,28.63
Bass,20.23,6.7,,7.65,3.25,0.07,1.81
Bass,24.4,7.46,35.6,7.0,5.63,0.15,39.96
Salmon,10.37,6.77,9.79,10.59,32.34,1.01,11.93
Bass,19.04,7.5,26.44,9.48,5.07,0.14,43.48
Trout,10.77,6.58,1.81,10.14,4.23,0.8,22.22
Trout,17.75,6.68,5.81,,1.91,2.67,18.36
Clownfish,24.55,7.94,0.78,5.75,31.84,1.4,39.01
Goldfish,11.39,7.13,10.37,7.88,1.7,0.72,17.09
Trout,14.7,7.25,6.05,9.58,0.07,0.86,27.84
Salmon,8.65,6.62,6.7,6.83,15.83,2.62,31.82
Clownfish,25.44,8.31,3.68,7.94,30.24,2.75,48.9
Clownfish,26.74,8.16,1.14,,28.55,1.93,35.09
Tilapia,25.59,6.91,48.49,4.98,0.01,0.33,36.35
Clownfish,25.6,7.92,,7.93,31.89,1.21,42.72
Trout,10.86,6.89,0.12,10.14,,2.86,3.92
Trout,16.74,6.66,0.57,10.2,0.66,,23.0
Salmon,13.84,6.97,0.19,6.72,14.22,0.02,29.36
Trout,17.96,7.35,,7.41,1.68,1.14,39.76
Tilapia,27.17,7.01,41.42,4.2,2.32,1.31,46.11
Salmon,8.28,6.93,3.05,11.33,26.07,,2.47
Clownfish,25.75,8.24,0.82,5.95,33.95,0.49,9.47
Goldfish,20.67,7.86,10.7,6.49,1.14,0.76,45.41
Tilapia,27.63,7.86,36.26,5.11,3.65,0.54,40.46
Catfish,24.85,6.39,12.19,3.7,1.22,2.43,33.99
Bass,15.79,6.22,15.62,4.23,0.65,1.3,29.04
Trout,17.29,7.17,8.51,7.51,,0.33,10.69
,21.97,7.12,36.02,5.02,8.23,1.43,36.76
Tilapia,29.77,6.5,15.03,4.18,0.5,1.26,13.72
Eel,6.25,7.52,20.83,5.75,25.62,2.34,16.89
Catfish,20.65,7.79,89.89,4.08,3.55,0.89,48.55
Catfish,24.72,7.64,41.97,6.14,2.26,1.96,7.0
Trout,14.38,7.27,4.6,7.97,3.33,0.8,5.66
Tilapia,25.2,7.7,20.88,4.91,1.72,2.28,16.42
Catfish,22.37,6.04,91.82,4.46,3.62,2.13,46.1
Trout,11.94,6.65,4.7,11.25,1.17,2.96,38.67
Bass,20.15,6.47,49.81,8.02,0.16,2.67,47.05
Bass,24.28,7.01,44.8,7.54,9.03,0.54,48.77
Clownfish,26.87,8.14,1.91,6.89,30.36,2.14,0.15
Clownfish,24.69,7.87,3.01,6.99,33.2,2.94,39.56
Salmon,9.78,6.7,0.65,9.05,12.79,2.82,38.28
Tilapia,23.74,6.54,32.21,7.17,1.85,0.67,20.05
Trout,12.5,6.68,7.82,,4.59,2.11,12.67
Bass,16.32,7.45,22.64,7.66,9.93,2.46,49.42
Trout,,6.99,9.6,10.04,4.61,2.66,48.43
Tilapia,23.02,7.26,42.95,5.58,1.87,0.19,24.18
Clownfish,27.34,7.81,3.74,7.77,29.87,2.13,3.09
Trout,12.89,7.45,9.66,8.78,,0.2,8.2
Trout,10.86,6.66,7.91,11.37,4.97,1.31,3.83
Catfish,20.01,7.18,91.24,5.38,2.1,2.57,36.25
,15.18,6.88,35.27,8.41,7.75,1.59,47.02
Clownfish,25.35,8.13,1.01,6.8,32.09,1.92,6.49
Trout,14.562243678292962,6.79,9.48,9.07,0.04,2.01,48.73
Salmon,9.04,6.84,0.31,10.82,25.61,0.79,45.18
Eel,8.86,7.97,15.11,6.73,9.12,0.21,44.62
Trout,16.85,6.64,8.08,7.32,3.52,0.96,43.28
Goldfish,10.51,8.16,17.62,5.03,1.91,0.25,47.3
Salmon,9.7,7.0,8.86,7.85,23.5,2.79,6.71
Clownfish,,8.22,0.14,6.97,33.33,2.74,9.35
Salmon,10.61,7.38,5.31,6.49,10.76,2.19,38.25
Bass,22.1,6.24,43.35,5.61,,1.73,46.85
Tilapia,22.7,6.51,33.69,7.81,3.96,1.41,42.86
Eel,17.16,6.6,,7.77,29.68,,27.4
Bass,21.75,6.05,23.86,4.45,4.01,0.59,10.69
Eel,16.3,7.41,16.62,3.61,26.51,,16.46
Eel,20.82,7.28,,3.3,8.9,0.12,47.05
Eel,15.25,,21.76,3.96,18.61,0.46,17.56
Clownfish,24.1,7.93,2.01,5.81,32.42,2.53,3.72
Tilapia,28.34,,20.67,4.96,4.57,0.31,24.17
Salmon,9.91,6.97,4.18,10.22,30.2,2.67,32.7
Goldfish,20.47,7.05,10.42,5.83,1.4,1.92,32.2
Eel,20.21,6.5,22.64,7.24,26.1,2.06,5.74
Eel,17.97,7.62,13.64,3.28,7.53,0.71,27.26
Eel,15.83,7.11,14.74,6.85,,2.49,47.75
Trout,14.95,7.33,1.72,7.04,1.33,0.1,21.41
Clownfish,24.3,7.93,3.66,6.01,33.71,1.57,0.33
Goldfish,24.29,8.32,10.27,7.56,3.05,1.71,35.65
Trout,10.79,6.88,2.99,8.11,3.01,0.29,40.99
,24.3,,18.47,6.18,3.14,1.0,35.25
Bass,21.14,6.27,35.92,4.16,8.32,1.83,
Tilapia,27.43,6.51,371.8560201000536,4.52,2.79,1.24,6.3
Catfish,27.98,6.53,64.19,4.51,1.48,1.5,18.1
Goldfish,,8.23,18.18,,4.12,0.06,31.29
Bass,18.44,6.6,24.76,6.54,1.41,2.72,45.08
,22.98,6.11,16.03,5.06,4.55,2.53,16.13
,23.27,7.4,,6.07,1.92,1.86,27.18
Bass,16.2,,45.04,7.66,6.16,,46.55
Catfish,24.13,,36.27,6.96,0.56,1.4,49.22
Clownfish,24.34,8.1,3.95,6.83,31.95,2.21,44.0
Eel,14.87,7.13,24.49,6.2,26.85,1.14,
Catfish,27.75,7.17,66.44,4.35,1.12,1.35,18.74
,28.63,6.58,47.66,4.03,1.87,0.96,40.2
Tilapia,26.74,7.48,22.82,6.93,3.03,0.11,13.55
Salmon,8.16,6.54,1.17,10.2,26.93,,6.72
Goldfish,13.46,7.88,14.21,6.69,2.76,1.25,28.16
Eel,11.95,6.5,24.27,,20.93,2.98,1.95
Bass,18.69,6.4,28.68,9.45,7.56,2.96,43.09
Tilapia,23.07,6.7,46.94,6.31,0.93,1.56,28.02
Clownfish,26.13,7.81,1.19,5.91,32.16,2.89,11.17
Bass,17.41,6.36,,,9.85,1.46,3.58
Trout,10.48,7.19,0.81,12.0,3.17,0.37,31.94
Clownfish,24.41,,0.69,7.66,30.34,0.31,32.23
Goldfish,14.89,8.31,7.02,7.99,3.06,,29.62
Tilapia,28.12,7.78,36.08,5.08,2.12,1.57,13.96
Eel,10.43,6.17,27.07,6.35,,1.46,41.42
Goldfish,10.69,7.23,13.73,6.48,2.04,1.75,12.93
Goldfish,18.45,7.85,,7.51,1.56,1.94,31.51
Catfish,27.77,,,5.95,,1.83,12.13
Catfish,27.38,6.15,65.67,5.48,3.38,,4.03
Tilapia,23.52,7.02,34.88,6.68,1.7,2.93,49.16
Catfish,24.1,7.15,68.42,5.09,4.96,0.22,29.22
Goldfish,10.38,7.61,18.78,5.0,1.43,2.75,44.62
Goldfish,20.89,7.86,7.35,6.28,3.76,2.24,41.24
Eel,24.88,6.65,28.86,5.8,27.63,2.05,8.46
Catfish,25.15,6.62,75.72,5.76,0.58,1.71,34.9
,25.6,6.04,25.26,6.31,0.79,0.15,10.98
Catfish,27.31,6.94,91.32,3.54,2.06,,33.1
Clownfish,27.87,7.88,4.97,5.39,30.52,2.77,13.14
Trout,11.36,7.02,3.01,7.57,2.82,1.86,33.47
Goldfish,23.4,7.55,7.64,6.59,2.08,0.97,9.15
Bass,,6.58,45.73,8.44,2.37,1.14,34.12
Clownfish,27.74,8.39,2.22,7.65,34.63,2.49,4.49
Trout,11.33,7.4,5.82,11.08,2.19,1.9,29.0
Eel,18.9,6.77,16.8,3.43,7.97,2.77,35.73
Catfish,23.52,,17.83,4.55,4.47,2.6,16.26
Salmon,8.54,7.03,8.99,9.7,22.21,0.01,37.84
Tilapia,27.71,7.04,27.24,4.27,4.01,1.64,8.22
Catfish,20.1,7.89,32.56,3.18,3.52,2.9,48.5
Eel,8.43,6.73,19.05,4.66,24.16,1.94,6.61
Goldfish,20.02,8.41,8.68,6.21,4.05,2.06,33.79
Catfish,20.24,6.66,53.19,3.76,4.2,0.69,36.9
Eel,14.25,7.35,21.12,7.61,20.94,1.78,13.47
Catfish,24.8,7.7,27.8,3.4,3.46,0.52,32.03
Trout,10.31,6.96,8.71,9.92,2.56,0.5,4.45
Trout,11.22,7.37,5.24,9.01,1.93,0.8,35.42
Trout,11.45,6.81,9.1,8.69,1.66,0.73,43.59
Trout,12.54,7.19,3.11,8.28,3.11,1.41,1.66
Eel,17.91,7.04,21.8,7.17,16.57,,47.82
Salmon,11.13,6.64,8.63,8.29,15.84,0.74,25.85
Eel,22.91,6.72,29.49,6.54,18.36,1.21,49.5
Goldfish,22.84,7.97,11.36,6.35,0.96,0.22,17.11
Trout,17.52,7.06,3.56,10.27,3.4,2.72,9.81
Salmon,9.04,,8.09,7.52,18.53,0.21,18.48
Goldfish,14.37,8.04,12.5,7.03,3.97,2.55,20.71
Bass,22.86,6.62,11.41,5.79,6.43,2.54,5.81
Catfish,22.73,6.09,,3.7,1.81,0.67,33.43
Trout,14.5,7.24,0.37,7.02,0.12,0.74,2.91
Salmon,14.98,6.96,8.75,7.76,27.0,0.88,41.03
Catfish,20.4,7.37,8.13,4.94,1.57,1.56,49.45
Clownfish,26.95,8.37,3.98,6.37,32.87,2.08,3.61
Trout,11.84,6.57,2.53,11.91,2.99,1.89,25.77
Goldfish,14.35,8.17,6.84,,1.61,1.36,10.38
Goldfish,23.97,7.39,19.46,7.3,0.59,0.37,26.53
Catfish,22.97,6.98,37.71,3.68,0.66,2.65,24.05
Eel,19.12,6.36,29.79,6.48,12.25,1.81,46.73
Clownfish,24.97,8.3,2.61,5.21,28.39,2.57,25.24
Eel,24.94,7.47,22.76,3.49,19.35,,29.07
Goldfish,22.21,7.51,7.99,6.96,0.4,1.26,10.96
Tilapia,27.39,7.12,49.04,4.21,4.3,0.12,10.98
Clownfish,24.3,7.88,2.76,6.43,28.96,1.57,1.17
Clownfish,24.29,8.23,4.87,6.13,33.1,1.84,27.34
Bass,16.57,,26.82,4.18,1.18,0.21,36.81
