Fish Species,Temperature (°C),pH,Turbidity (NTU),Dissolved Oxygen (mg/L)
Trout,11.65,6.68,9.04,9.52
Bass,19.07,6.01,19.32,6.36
Clownfish,,8.11,,7.99
Eel,14.52,6.77,10.44,3.26
Goldfish,15.2,8.04,16.58,5.46
Goldfish,15.27,8.0,17.98,7.07
Trout,12.35,6.86,9.92,7.3
Trout,14.5,7.3,0.51,7.31
Eel,20.27,7.1,10.67,3.93
,12.02,8.4,14.34,7.24
Eel,18.34,,11.83,3.98
Goldfish,21.2,8.12,18.39,7.26
Clownfish,24.85,7.81,2.46,5.96
Trout,15.81,7.23,,9.7
Trout,17.1,6.72,1.09,10.38
Catfish,27.56,7.04,33.49,3.35
Tilapia,22.1,6.71,31.14,
Trout,14.52,6.67,5.01,11.08
Tilapia,26.3,7.42,,7.64
Clownfish,27.18,7.89,4.61,5.13
Clownfish,24.08,8.17,1.39,6.54
Trout,14.57,6.91,0.47,9.61
Goldfish,20.4,7.9,6.76,5.0
Trout,12.05,6.82,2.68,11.11
Goldfish,13.29,7.86,10.45,7.19
Tilapia,29.98,6.89,29.34,7.87
Eel,22.59,6.48,17.25,5.36
,10.75,6.9,9.17,
,24.33,7.92,1.64,5.6
Trout,13.14,7.09,5.61,7.96
Goldfish,10.45,7.01,12.48,7.41
Trout,12.23,7.31,2.15,8.24
Trout,14.81,7.14,1.97,8.44
Tilapia,27.15,7.2,,7.68
Catfish,27.45,7.57,59.75,3.39
Trout,10.64,6.86,9.44,8.84
Bass,23.74,6.02,40.75,4.35
Eel,19.12,6.49,19.32,5.85
Bass,20.51,6.05,49.21,7.97
Eel,21.78,,19.51,4.19
,12.4,7.16,3.96,10.6
Salmon,8.22,6.92,0.28,6.85
Clownfish,24.09,8.16,4.01,6.66
Catfish,22.44,6.31,71.92,5.49
Clownfish,25.75,8.27,3.58,6.45
Clownfish,26.33,8.11,2.6,7.72
Eel,21.34,7.85,20.28,6.39
Goldfish,12.78,8.44,9.4,6.7
Salmon,12.08,7.1,9.81,9.6
Clownfish,25.48,7.89,1.44,7.81
Catfish,25.68,7.2,11.76,6.98
Eel,22.92,6.95,16.28,4.12
Catfish,25.76,6.07,17.18,5.14
Trout,10.72,6.62,2.27,7.56
Clownfish,25.37,8.06,0.16,7.17
Trout,12.93,7.21,7.58,9.7
Trout,11.84,7.05,1.43,11.12
Goldfish,21.17,7.29,9.73,5.58
Trout,12.06,6.54,3.61,8.39
Catfish,,7.54,7.3,3.62
Catfish,25.02,,14.26,5.91
Clownfish,27.39,8.14,2.02,7.7
Clownfish,27.35,8.23,0.38,7.9
Catfish,22.28,6.81,62.42,5.95
Trout,18.0,6.96,3.36,11.45
Bass,17.46,6.35,45.18,4.04
Catfish,,7.35,68.44,3.78
Clownfish,27.76,8.14,4.86,6.02
Goldfish,18.18,7.98,16.6,7.97
Tilapia,24.33,7.77,32.47,6.95
Trout,17.07,6.51,1.56,9.24
Bass,18.08,6.2,48.44,9.27
Clownfish,25.88,8.38,2.55,8.0
Bass,,7.14,33.13,4.67
Clownfish,26.51,8.15,3.24,7.88
Eel,8.84,7.5,15.84,6.87
Bass,23.88,7.11,32.24,5.37
Salmon,9.52,7.16,8.81,9.11
Catfish,20.77,7.38,50.05,4.6
Trout,14.21,6.66,1.04,7.3
Clownfish,27.67,,4.05,6.18
Goldfish,11.9,8.03,18.46,7.81
Catfish,22.08,7.62,99.98,3.61
Eel,17.57,6.58,29.18,6.14
Tilapia,27.97,6.58,26.17,7.45
Bass,21.83,7.47,10.3,4.7
Tilapia,26.59,7.32,42.61,7.82
Trout,13.13,6.86,6.34,10.17
Tilapia,27.74,6.63,32.99,5.62
Catfish,26.89,,63.63,3.26
Eel,14.49,6.99,19.77,5.97
Bass,22.58,6.84,44.62,7.28
Trout,11.28,7.1,9.46,9.11
Eel,19.67,6.47,10.76,6.33
Goldfish,23.47,,13.72,6.25
Salmon,14.2,7.11,7.88,9.4
Tilapia,29.1,7.81,40.73,6.74
,25.81,8.0,3.68,5.31
,,,22.95,4.87
Clownfish,27.21,7.9,1.26,6.49
Goldfish,23.57,7.24,18.14,6.63
Tilapia,28.19,7.56,11.03,4.53
Goldfish,10.18,8.3,6.2,5.42
Clownfish,27.76,8.3,2.42,5.25
,,6.46,30.37,5.01
Eel,22.18,6.97,13.09,5.82
Bass,16.69,6.98,8.92,5.47
Tilapia,25.2,7.95,43.78,6.75
Trout,13.69,7.37,2.82,10.7
Trout,,7.43,,10.7
Catfish,21.96,6.19,33.09,5.31
Eel,6.8,6.7,17.89,7.67
Clownfish,27.87,8.37,2.54,6.31
Catfish,24.22,6.73,47.24,4.63
Trout,16.1,7.04,7.64,7.95
Eel,24.09,6.7,24.01,6.79
Goldfish,19.86,8.31,18.31,5.16
Salmon,9.43,7.16,9.87,9.5
Tilapia,29.82,7.03,49.72,4.98
Eel,21.1,6.62,24.99,5.65
Bass,23.29,,27.03,8.9
,13.62,6.62,2.44,6.59
Trout,12.28,7.35,9.73,7.02
Salmon,9.31,6.5,9.57,9.19
Tilapia,23.71,7.38,41.83,4.77
Trout,10.95,7.04,7.2,11.68
Bass,22.94,6.9,22.59,5.27
Salmon,9.19,7.37,1.88,7.66
Salmon,11.57,6.51,6.63,7.9
,12.61,7.55,10.36,7.76
Trout,,6.59,,11.3
Tilapia,27.62,7.94,44.07,6.1
Bass,20.83,6.76,15.53,7.78
Trout,,7.49,0.35,8.41
Clownfish,25.54,8.38,,7.29
Catfish,23.4,6.36,90.25,5.88
Eel,11.25,6.99,11.82,3.12
Tilapia,26.04,6.73,30.59,7.69
Goldfish,18.0,8.05,19.45,5.67
Goldfish,10.84,7.01,7.82,7.78
Eel,17.48,7.44,21.53,7.57
Goldfish,12.48,8.17,11.11,6.23
Eel,7.26,7.05,11.26,6.84
Bass,24.11,6.79,27.35,7.39
Salmon,,6.62,8.73,9.93
Eel,17.67,6.9,20.46,4.29
Salmon,9.99,6.55,7.29,9.96
Catfish,24.02,7.6,87.93,4.01
Goldfish,21.46,7.6,11.56,7.57
Clownfish,27.91,8.36,2.02,6.9
,24.3,7.66,16.41,6.07
Goldfish,20.6,7.83,5.59,5.93
Clownfish,26.96,8.38,0.41,5.28
Catfish,20.11,7.29,26.62,3.87
Goldfish,13.92,7.11,9.82,6.5
Clownfish,27.85,7.89,1.99,7.87
Goldfish,13.82,7.1,14.28,7.04
Catfish,21.09,7.47,89.98,5.43
,12.58,6.51,2.68,6.2
Bass,18.66,7.37,45.91,7.05
Trout,10.22,6.58,4.58,11.35
Bass,17.39,6.21,18.6,9.08
Clownfish,27.88,7.81,1.62,
Clownfish,24.53,7.89,1.61,6.84
Trout,17.05,6.54,8.83,10.74
Bass,19.84,6.38,35.55,5.49
Bass,21.76,6.36,42.84,6.97
Goldfish,23.54,,19.78,7.15
Trout,11.43,6.72,0.55,10.97
Bass,21.05,7.32,14.55,4.33
Catfish,21.93,6.61,77.91,4.77
Goldfish,14.01,7.7,13.08,7.38
Goldfish,20.15,8.33,11.84,6.09
,12.61,7.67,18.86,
Clownfish,26.9,8.33,4.97,7.49
,15.97,7.56,19.99,4.14
Goldfish,17.09,7.15,17.16,7.4
Goldfish,22.56,7.15,8.0,7.65
Trout,14.75,,6.79,8.36
Goldfish,,7.49,14.6,7.22
Tilapia,,7.43,24.01,6.29
Salmon,14.9,6.89,1.8,7.41
Salmon,9.38,7.02,7.29,9.8
Trout,13.75,6.79,2.58,8.83
Eel,20.1,6.76,26.22,5.4
Goldfish,24.84,8.44,,6.13
Catfish,27.03,6.95,97.99,6.05
Eel,16.06,6.57,19.2,7.36
,13.27,7.31,4.75,7.54
Clownfish,25.02,8.38,0.23,
Clownfish,27.08,8.34,4.55,7.16
Eel,13.78,7.24,18.92,4.55
Clownfish,24.91,8.2,3.15,7.49
Salmon,,6.91,8.32,9.3
Catfish,26.71,,14.85,3.5
Catfish,27.04,6.72,12.1,5.32
Catfish,24.7,7.28,,5.4
Catfish,26.83,,90.23,4.95
Trout,14.78,7.35,0.53,9.21
Goldfish,12.5,7.45,7.45,5.49
Eel,14.88,6.59,22.97,5.09
Goldfish,19.95,7.79,8.52,5.45
Tilapia,22.89,6.87,21.63,6.88
Tilapia,26.84,6.93,19.41,4.04
Catfish,24.82,7.09,61.58,6.62
Trout,16.26,6.84,5.77,7.66
Catfish,25.96,6.54,,5.12
,24.99,8.48,7.72,6.62
Clownfish,27.48,7.91,,7.5
Goldfish,16.32,7.58,5.31,
Catfish,22.96,6.34,40.53,4.51
Tilapia,25.43,7.94,15.39,6.58
Clownfish,24.49,8.4,4.05,7.78
Goldfish,12.31,8.37,10.64,5.61
Tilapia,23.01,6.73,16.47,4.59
Goldfish,13.44,7.3,15.83,5.46
Goldfish,15.26,8.34,10.87,5.37
Trout,16.0,6.55,5.91,8.05
Tilapia,25.24,6.5,34.45,4.1
Eel,17.99,7.42,17.15,3.44
Catfish,24.62,7.75,20.51,5.18
,19.51,7.64,22.84,3.24
Tilapia,,7.91,13.5,4.67
Eel,15.92,7.67,10.9,7.58
Clownfish,26.84,7.95,3.11,7.24
Eel,7.14,6.01,23.73,5.38
Trout,16.96,6.99,7.5,8.33
Clownfish,27.96,8.27,2.54,7.32
Catfish,22.81,7.99,29.27,4.74
Goldfish,10.81,7.79,9.07,7.33
Bass,16.12,6.29,,
Goldfish,23.94,8.3,10.64,7.11
Bass,16.04,7.14,41.51,8.31
Trout,12.33,6.76,3.36,7.98
,26.07,8.18,1.36,7.54
Catfish,26.02,7.97,29.94,4.53
Eel,10.6,6.59,21.95,6.8
Trout,17.91,6.82,7.36,10.89
Bass,18.17,6.02,15.4,4.07
Tilapia,,6.71,,5.45
Clownfish,25.18,8.31,0.37,5.67
Goldfish,10.45,7.41,6.25,5.76
Bass,20.63,6.73,7.76,7.33
Catfish,21.13,7.23,90.97,4.29
Trout,10.86,6.84,1.15,8.27
Tilapia,25.87,6.54,20.58,7.24
Bass,,6.26,18.97,6.8
Catfish,21.42,7.52,74.82,3.08
Bass,23.18,7.18,43.81,
,14.51,6.58,4.08,8.06
Catfish,21.64,7.0,41.98,
Tilapia,29.23,6.82,37.48,4.97
Bass,24.03,6.74,32.68,9.37
Tilapia,27.96,6.83,14.78,6.14
Clownfish,25.11,7.94,4.93,7.02
,7.38,6.92,29.0,4.41
Goldfish,21.2,7.62,13.91,5.76
Bass,18.47,6.58,,4.96
Clownfish,25.29,8.34,0.86,5.91
Salmon,10.02,7.15,5.71,11.9
Trout,15.28,7.33,7.47,10.74
Eel,13.43,6.89,18.18,7.58
Trout,15.67,6.95,8.46,10.52
Goldfish,18.37,7.05,18.67,5.64
Eel,9.13,7.37,18.94,7.63
Goldfish,14.82,8.46,12.75,5.81
Clownfish,26.33,8.39,2.04,6.61
Trout,15.47,7.23,0.5,9.86
Salmon,14.81,7.14,3.86,
Salmon,9.64,6.7,8.87,8.11
Salmon,8.01,6.61,5.8,9.73
Eel,5.15,6.86,23.04,3.09
Tilapia,24.73,6.98,42.24,4.71
,22.89,,26.68,4.71
Eel,14.75,6.56,27.3,5.28
Clownfish,24.84,8.1,2.13,6.6
Goldfish,22.64,8.13,15.47,
Catfish,23.68,6.04,19.41,6.82
Eel,12.17,7.19,29.46,3.19
Goldfish,10.31,7.84,18.01,6.38
Salmon,12.03,6.91,8.98,9.99
Trout,13.74,7.28,2.75,11.03
Trout,10.51,7.39,5.39,7.09
Salmon,,6.79,3.22,11.2
Clownfish,27.39,8.06,2.91,6.14
Eel,9.33,7.2,17.67,7.22
Bass,17.43,7.08,31.51,
,29.66,,41.6,7.32
Clownfish,25.07,7.93,4.17,5.32
Bass,18.13,6.92,,4.86
Bass,21.87,6.3,26.2,6.05
Eel,11.35,7.09,10.47,4.22
Bass,24.76,6.2,11.27,5.04
,24.41,7.79,44.61,4.27
Eel,10.59,6.59,27.2,4.92
Eel,18.37,6.04,15.05,3.04
Clownfish,26.1,8.01,2.29,5.21
Tilapia,26.74,6.87,17.42,6.66
Clownfish,24.22,8.21,4.8,
Catfish,24.8,7.39,34.03,6.21
,12.47,7.38,16.39,6.92
Eel,22.11,7.19,18.03,7.91
Goldfish,23.34,7.2,13.93,6.09
Catfish,20.53,6.88,35.68,5.93
Clownfish,25.41,7.83,0.36,7.93
Catfish,21.3,6.74,38.22,5.49
Tilapia,26.97,6.65,16.05,5.73
Goldfish,22.17,8.2,15.12,
Catfish,26.62,6.33,44.35,3.49
Salmon,11.32,7.16,5.37,
Eel,10.75,7.55,28.73,3.71
Goldfish,23.01,8.32,,5.57
Trout,15.94,6.78,9.46,11.18
Clownfish,26.33,8.14,4.42,5.86
Bass,21.61,7.31,9.51,9.95
Trout,15.84,7.4,1.03,9.91
Eel,23.73,6.91,25.09,5.67
Catfish,20.71,7.21,21.37,3.42
Clownfish,24.18,8.11,1.57,5.12
Bass,23.08,7.22,28.48,5.38
Salmon,12.41,7.28,8.64,6.78
Salmon,11.06,7.28,9.39,10.86
Clownfish,26.82,8.32,2.08,7.05
Catfish,22.83,7.21,40.63,4.2
Clownfish,26.93,8.05,2.77,5.16
Eel,18.23,7.14,,5.99
Trout,17.09,6.74,1.13,10.48
Catfish,26.75,6.49,36.28,6.2
Salmon,14.78,6.84,4.9,10.47
Tilapia,25.57,7.57,34.13,5.73
Eel,12.05,,25.73,6.73
Salmon,8.28,7.21,0.97,9.62
Bass,18.23,6.25,34.9,4.91
Trout,12.23,7.25,2.74,8.28
Goldfish,10.08,8.44,14.63,7.19
,15.72,6.82,18.61,8.69
,13.04,7.35,0.38,9.5
Goldfish,14.09,7.55,13.6,5.51
Goldfish,11.58,7.07,5.16,7.96
Clownfish,26.34,8.27,1.75,5.05
Eel,23.9,7.94,19.97,7.08
,26.91,6.16,46.11,5.41
Tilapia,29.2,7.15,13.35,
Trout,16.93,7.24,0.23,11.01
Eel,16.93,7.91,22.23,7.16
Salmon,13.23,7.15,4.56,11.19
Catfish,26.61,6.36,93.85,4.91
Goldfish,22.96,7.78,14.66,6.4
Clownfish,27.98,7.94,1.22,6.17
Eel,6.13,7.28,10.81,7.76
Eel,,7.42,17.49,5.05
Goldfish,21.05,7.76,14.92,7.93
Eel,18.44,6.03,25.68,5.1
Clownfish,24.53,8.0,2.69,5.74
Bass,17.69,6.21,10.86,4.8
Catfish,23.47,7.72,92.73,3.55
Eel,17.55,6.62,25.36,
Bass,21.46,6.82,42.29,8.16
Clownfish,25.93,7.91,,5.64
Eel,21.92,6.42,18.42,6.36
Bass,23.15,6.18,17.04,7.22
Goldfish,20.51,8.01,12.11,7.83
Eel,20.48,7.96,18.21,5.96
Goldfish,13.59,8.4,6.82,6.31
Trout,10.44,6.84,0.94,11.26
Trout,13.04,6.59,8.45,9.77
Eel,22.59,6.27,14.39,4.32
Catfish,26.5,7.84,50.15,5.46
,16.68,7.02,24.13,7.06
Catfish,,6.27,31.22,5.37
Tilapia,27.66,7.05,28.45,5.14
Clownfish,25.89,8.08,3.58,7.0
Clownfish,25.94,8.35,2.65,5.16
Bass,16.51,6.72,9.02,8.65
Bass,21.18,6.39,24.6,9.06
Catfish,26.1,7.01,45.43,3.65
Goldfish,14.13,7.58,13.78,5.82
Catfish,26.57,6.88,74.47,
Clownfish,27.85,8.39,1.61,7.68
Tilapia,25.03,6.99,38.93,7.77
Eel,9.41,7.24,28.76,7.96
Trout,11.58,7.49,3.48,8.4
Goldfish,15.84,7.56,13.65,6.57
Tilapia,28.12,7.71,46.89,
Goldfish,14.64,8.5,10.61,5.17
Eel,12.29,6.97,21.76,6.18
Clownfish,24.09,8.26,2.68,5.97
Clownfish,24.5,8.2,2.9,6.09
Bass,15.94,6.82,41.48,6.33
Bass,19.48,6.78,43.77,8.79
Tilapia,25.09,7.04,34.42,7.48
Eel,,7.57,20.92,5.11
Salmon,13.42,7.21,5.32,6.53
Eel,,6.43,26.67,4.43
Catfish,20.48,6.52,,6.37
Eel,22.18,6.13,19.21,4.32
Tilapia,22.34,7.48,21.06,6.72
Clownfish,25.57,8.11,2.94,7.29
Eel,23.07,7.28,15.45,6.74
Clownfish,26.04,8.29,3.21,7.53
Bass,20.75,6.45,11.46,8.8
Bass,15.53,7.07,23.32,5.73
Tilapia,29.45,6.8,38.81,6.48
Trout,15.56,7.16,0.21,7.13
Clownfish,26.95,8.36,2.55,7.91
Bass,24.76,6.39,33.36,4.84
Clownfish,24.61,8.2,1.1,5.71
Trout,15.31,7.15,5.84,9.64
Trout,13.6,7.13,1.97,7.41
Tilapia,23.78,7.26,,7.8
,,7.58,22.42,5.0
,16.67,6.74,23.34,3.18
Eel,18.46,6.64,24.7,3.29
Goldfish,20.77,7.78,5.02,7.21
Tilapia,28.33,7.95,18.87,6.88
Catfish,27.8,6.44,31.96,5.64
Bass,18.19,6.71,23.34,6.29
Salmon,11.84,6.57,3.87,8.82
Trout,,7.31,,8.11
Tilapia,29.17,7.94,26.48,6.31
Bass,18.38,6.93,21.12,
Catfish,22.26,,45.88,5.4
Tilapia,22.27,7.58,33.66,7.62
Tilapia,28.37,7.22,35.9,
Clownfish,26.96,8.12,1.15,6.3
Eel,9.83,,14.0,3.68
,5.66,6.83,11.61,
Trout,18.0,6.54,5.94,8.25
Clownfish,26.42,7.94,,7.24
Salmon,9.09,6.91,4.15,9.84
Eel,10.91,7.75,16.13,6.86
Trout,14.28,6.79,6.25,8.2
,25.59,7.83,4.16,5.09
Eel,17.09,6.52,13.64,3.8
Tilapia,24.46,7.77,24.68,7.63
Trout,15.73,7.5,8.92,7.18
,25.6,8.15,1.28,7.4
Salmon,14.57,,7.3,10.74
Catfish,26.49,6.74,67.11,4.52
Clownfish,26.63,8.03,3.54,6.45
Salmon,11.13,7.17,5.13,7.32
Tilapia,26.31,6.57,36.75,5.01
Catfish,22.76,6.69,65.61,6.13
,27.7,8.0,2.32,6.29
Eel,15.27,,21.79,3.58
Clownfish,27.33,7.97,1.64,5.05
Goldfish,16.79,8.33,5.17,5.8
Eel,17.02,,26.07,4.0
Clownfish,27.03,8.37,1.62,5.59
Catfish,20.91,6.1,73.95,6.7
Catfish,24.51,6.23,63.44,4.77
Clownfish,27.7,8.29,0.2,5.85
Eel,24.52,7.3,18.22,4.27
Goldfish,22.8,7.92,6.69,6.01
Salmon,12.09,6.82,5.19,9.1
Tilapia,24.5,6.64,37.72,6.42
Eel,9.25,6.41,,5.36
Tilapia,28.13,7.57,17.19,5.01
Bass,16.79,7.34,39.39,9.6
Trout,13.88,7.16,4.53,10.79
Clownfish,26.39,8.17,0.98,7.57
Catfish,,,23.16,3.32
Salmon,,7.29,5.79,8.06
Clownfish,27.76,,3.21,5.17
Goldfish,11.23,8.45,18.46,7.07
Trout,13.94,6.96,1.34,8.08
Trout,17.23,6.88,1.06,11.87
Goldfish,23.33,7.75,18.64,
Tilapia,26.71,6.74,20.94,6.8
Eel,15.05,6.25,18.51,7.42
Trout,16.12,6.56,5.8,8.28
Bass,18.33,6.77,,9.39
Goldfish,22.83,7.07,14.7,7.84
Clownfish,26.16,7.95,4.49,6.91
Tilapia,24.69,6.67,15.45,4.75
Clownfish,24.6,8.38,1.82,6.95
Salmon,11.17,7.15,8.75,6.37
Salmon,10.67,6.95,6.54,
Clownfish,24.1,8.1,3.4,5.16
,22.65,6.79,97.84,6.97
Trout,12.98,6.56,2.57,9.88
Goldfish,23.88,7.03,15.4,7.47
Goldfish,14.87,7.53,10.87,
Clownfish,27.13,,1.02,6.53
Trout,14.56,7.35,,7.95
Clownfish,25.33,7.84,0.06,7.04
Salmon,14.63,6.86,8.66,7.89
Goldfish,18.58,7.26,,5.88
Bass,23.89,7.25,41.94,4.89
Goldfish,15.59,7.02,14.49,5.44
Tilapia,22.31,6.84,14.62,5.66
Trout,15.88,6.87,5.58,9.09
Clownfish,24.58,8.07,2.48,5.95
Tilapia,25.14,7.17,47.65,5.47
Goldfish,,8.4,13.19,6.97
Eel,8.17,7.31,15.03,3.47
Trout,12.73,7.34,3.31,10.77
Salmon,14.94,7.45,2.24,
Bass,19.59,6.32,40.93,7.17
Catfish,21.7,6.21,59.29,5.62
,26.03,8.09,,7.01
Goldfish,15.46,7.62,19.41,7.14
Clownfish,25.6,8.04,0.51,6.54
Salmon,11.13,6.78,5.32,8.93
Goldfish,24.61,,7.88,7.67
Catfish,23.95,6.83,84.03,5.21
Eel,14.27,7.64,23.5,5.99
Goldfish,11.02,7.13,7.84,5.6
Clownfish,27.99,8.17,,7.97
Eel,20.47,6.69,20.15,6.05
Eel,7.69,6.11,23.31,6.75
Salmon,14.06,6.8,4.45,10.86
Goldfish,23.3,7.5,10.03,6.23
,12.75,6.0,29.4,4.55
Clownfish,,,3.06,
Tilapia,28.54,7.44,24.67,6.81
Tilapia,25.4,6.85,24.86,
Clownfish,25.11,8.13,2.3,5.72
Goldfish,17.01,7.53,14.1,5.24
Goldfish,13.12,8.11,11.74,6.32
Eel,,7.04,27.06,3.06
Tilapia,27.1,7.31,47.2,4.62
,15.65,7.27,,8.51
Tilapia,26.3,7.05,21.17,7.61
,25.08,7.59,44.85,4.83
Eel,11.42,7.22,27.2,6.56
Salmon,11.95,,2.42,8.8
Clownfish,27.4,8.09,3.32,7.33
Tilapia,23.87,6.62,25.73,
Tilapia,25.47,6.84,15.92,5.99
Salmon,10.54,6.74,1.03,7.12
Catfish,23.28,,38.68,6.54
Eel,12.37,6.49,16.05,4.87
Trout,13.75,7.22,6.97,9.86
Trout,15.78,6.61,,9.54
Bass,24.43,7.25,30.86,9.3
Catfish,25.59,6.79,7.69,5.75
Trout,10.72,6.86,5.57,9.21
Tilapia,23.08,7.82,46.61,
Eel,20.57,6.13,18.31,4.98
Catfish,,7.71,58.39,5.72
Eel,7.03,6.17,22.61,4.72
Goldfish,14.42,7.05,8.2,7.93
Catfish,20.69,7.92,55.62,3.5
Tilapia,25.03,6.74,46.37,7.55
Goldfish,15.75,7.45,14.56,5.11
Bass,24.67,7.38,32.04,8.98
Catfish,23.99,6.51,19.14,4.85
Salmon,13.69,7.49,,8.6
Clownfish,27.66,8.23,4.43,6.22
Tilapia,24.41,7.85,32.9,6.25
Trout,12.97,7.47,1.44,10.51
,20.93,7.11,88.11,4.63
Goldfish,24.9,8.43,15.58,6.45
Tilapia,25.46,7.99,47.26,4.14
Clownfish,26.2,8.13,1.41,7.88
Bass,20.87,6.98,10.85,6.6
Salmon,11.45,,7.95,8.13
Goldfish,23.12,7.01,5.21,6.61
Trout,15.85,7.39,2.25,10.04
Bass,16.04,6.92,24.46,6.94
Clownfish,24.32,8.31,1.09,5.91
Tilapia,24.21,7.4,20.36,4.37
Salmon,13.55,6.94,6.33,
Eel,22.62,7.55,22.26,3.07
Bass,18.06,7.31,31.28,9.87
Goldfish,11.55,7.3,12.72,5.25
Eel,10.09,6.6,27.73,6.49
Goldfish,18.96,7.55,19.4,5.7
Goldfish,23.88,8.49,8.81,6.09
Goldfish,,8.03,11.54,7.98
,25.59,6.8,43.28,5.79
Trout,14.49,6.51,3.0,10.09
Salmon,14.77,6.57,9.4,6.59
Trout,15.51,6.81,3.88,7.03
Salmon,10.95,6.96,1.68,8.46
Bass,24.32,6.87,17.59,5.82
Tilapia,26.28,7.51,44.0,4.58
Salmon,12.08,6.99,3.12,6.34
Catfish,,7.85,60.71,6.88
Salmon,13.74,7.09,,10.29
,26.06,8.29,3.1,7.71
,10.83,6.85,0.68,10.2
,11.05,6.02,23.65,4.72
Catfish,27.19,,72.11,6.42
,20.73,6.81,33.22,5.06
Eel,21.49,6.3,21.54,
,14.78,6.53,8.62,7.48
Salmon,13.57,6.61,,11.14
Goldfish,23.36,8.31,16.85,5.21
Bass,23.33,6.95,30.8,7.56
Clownfish,24.42,7.94,1.96,7.63
Goldfish,20.81,8.41,9.01,6.82
Bass,20.34,6.21,39.55,5.4
Bass,19.49,6.76,32.92,4.87
Trout,11.7,7.37,9.61,9.91
Salmon,10.02,7.14,4.2,9.92
Catfish,,7.24,93.18,3.58
Salmon,13.0,7.37,0.19,9.03
Catfish,27.21,7.31,,3.21
Clownfish,24.19,8.21,4.55,5.21
Catfish,23.04,7.43,38.41,5.85
Clownfish,27.18,8.39,4.8,7.33
Catfish,23.78,6.96,65.84,
Trout,13.69,7.24,0.73,7.04
Goldfish,18.5,7.58,8.92,6.5
Trout,12.36,7.05,9.13,11.46
Goldfish,14.21,7.45,5.99,5.69
Catfish,25.53,6.2,27.37,6.11
Goldfish,16.75,7.28,8.44,7.47
Trout,11.4,7.08,1.62,7.6
Salmon,,6.55,1.16,11.68
Eel,13.68,7.06,15.57,5.14
Bass,16.45,7.23,41.22,9.78
Goldfish,19.39,,15.93,6.02
Eel,18.09,7.39,20.51,7.56
,20.95,6.14,84.97,4.11
Tilapia,26.92,6.98,37.96,5.51
Bass,23.11,6.74,13.39,7.8
Goldfish,13.28,7.46,14.73,7.31
Catfish,26.69,7.16,29.84,3.21
Clownfish,24.99,8.37,2.98,7.59
Tilapia,27.04,,32.79,7.57
Bass,16.51,6.65,42.12,6.99
Salmon,8.36,6.69,6.79,
Catfish,21.85,7.0,,5.6
Clownfish,24.22,8.26,3.29,6.04
Tilapia,22.69,7.24,10.57,
Trout,12.31,6.82,9.12,11.58
Trout,,6.87,8.87,8.4
Clownfish,25.71,8.28,0.6,
Trout,17.16,7.19,0.68,8.54
Tilapia,28.56,7.79,19.78,7.7
Goldfish,22.39,7.88,9.77,6.8
Bass,18.65,7.01,26.93,6.89
Salmon,12.31,7.19,8.6,6.43
Bass,24.28,7.34,23.9,8.07
Eel,15.04,6.35,21.6,4.11
Goldfish,22.39,7.21,7.22,6.15
Clownfish,25.92,8.22,4.49,7.33
Eel,16.39,6.82,15.82,5.61
Catfish,27.36,7.44,30.48,6.17
Tilapia,24.95,7.5,33.02,7.93
Goldfish,20.72,7.68,14.24,7.29
Goldfish,15.12,7.07,,5.33
Salmon,14.32,7.49,0.13,6.44
Clownfish,26.83,8.36,0.69,7.63
Clownfish,27.96,8.26,4.36,
Salmon,8.15,7.24,8.36,11.31
Goldfish,16.12,7.82,14.76,5.32
,23.18,7.93,6.37,5.9
Eel,,6.5,24.75,3.32
Goldfish,17.54,7.9,,5.52
Trout,15.5,6.84,2.56,9.16
Eel,9.02,6.64,13.7,7.23
Trout,14.13,6.84,4.85,8.82
Goldfish,22.47,8.24,15.15,5.82
Trout,15.41,6.73,6.33,7.03
Bass,22.79,7.28,17.61,
Catfish,20.98,7.56,73.75,3.59
Clownfish,25.52,7.89,3.08,6.77
Salmon,13.07,7.31,3.12,11.32
Tilapia,24.92,7.15,10.24,4.87
Catfish,21.19,6.14,96.83,3.38
Clownfish,25.48,,2.9,6.98
,25.25,6.55,87.94,6.01
Salmon,9.31,6.6,4.94,7.59
Salmon,12.56,6.82,3.19,6.8
Clownfish,27.89,7.98,0.35,5.83
Tilapia,27.73,7.43,29.72,6.06
Goldfish,10.14,7.85,14.12,6.45
Catfish,24.8,7.18,60.62,4.6
Tilapia,29.04,7.4,19.56,7.63
Clownfish,27.92,8.37,4.22,6.83
Catfish,22.0,7.86,72.09,3.55
Clownfish,26.46,8.4,0.82,5.25
Tilapia,23.07,7.67,32.44,
Bass,20.31,7.43,12.66,5.33
Bass,20.52,7.36,23.2,6.43
Catfish,24.94,6.92,10.81,4.95
Catfish,25.36,7.82,20.04,5.52
,24.72,7.89,0.32,7.7
Trout,10.12,7.18,3.31,10.91
Eel,14.59,7.61,29.08,6.14
Clownfish,25.36,8.13,2.89,7.2
Tilapia,28.3,6.64,10.8,6.9
Salmon,13.23,6.57,3.95,10.89
Eel,24.91,7.74,21.69,6.99
Bass,,6.93,47.69,4.3
Tilapia,27.02,7.63,39.48,6.87
Eel,14.28,6.94,27.1,6.21
Trout,14.59,6.53,5.49,7.57
Eel,20.75,7.86,28.19,5.69
